champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
Nidalee,4007.0,39952.0,4007.0,12.0,3.0,25.0,219294,15811,TopLane_Jungle,Few
Viktor,435.0,2244.0,435.0,0.8,0.0,6.0,47966,5151,Other,Few
Tristana,1048.0,1048.0,1048.0,0.666666667,0.0,19.0,89529,8293,Other,Many
Akali,6016.0,8233.0,6016.0,7.0,3.0,32.0,179599,16283,TopLane_Jungle,Many
Ezreal,0.0,165.0,0.0,0.375,0.0,17.0,64294,7457,Other,Many
Aphelios,5558.0,15322.0,5558.0,1.2,1.0,30.0,169986,11880,Other,Many
LeeSin,0.0,11201.0,0.0,1.4,0.0,23.0,101509,7569,TopLane_Jungle,Few
Talon,357.0,11113.0,357.0,2.3,1.0,27.0,175880,14741,TopLane_Jungle,Few
Samira,6649.0,11910.0,6649.0,14.0,2.0,27.0,139075,12360,Other,Many
Jhin,6597.0,12266.0,6597.0,22.0,2.0,13.0,180897,14055,Other,Many
Lucian,5547.0,11070.0,5547.0,3.333333333,2.0,24.0,157202,12028,Other,Many
Draven,8274.0,12188.0,8274.0,2.25,2.0,30.0,213151,16385,Other,Many
Zed,1912.0,29916.0,1912.0,2.833333333,2.0,36.0,229363,14291,TopLane_Jungle,Few
Yone,537.0,4513.0,537.0,1.0,0.0,18.0,145908,10871,TopLane_Jungle,Many
Jhin,5493.0,16732.0,5493.0,4.75,2.0,25.0,119602,12079,Other,Many
Graves,2875.0,53412.0,2875.0,6.0,3.0,36.0,289113,19051,TopLane_Jungle,Few
Viego,0.0,3465.0,0.0,0.6363636363636364,0.0,31.0,105648,10027,TopLane_Jungle,Few
Gnar,7468.0,20123.0,7468.0,2.0,4.0,17.0,171950,12407,TopLane_Jungle,Many
Graves,0.0,8542.0,0.0,0.25,0.0,14.0,75730,5012,TopLane_Jungle,Few
Kindred,4074.0,60356.0,4074.0,5.4,2.0,46.0,287939,19068,TopLane_Jungle,Few
Ahri,1002.0,2383.0,1002.0,7.0,1.0,62.0,34789,7242,Other,Few
Fiddlesticks,0.0,11896.0,0.0,3.0,0.0,60.0,147984,12708,TopLane_Jungle,Few
Lucian,8112.0,11167.0,8112.0,10.5,5.0,19.0,124822,12922,Other,Many
Ezreal,4755.0,11840.0,4755.0,1.714285714,3.0,24.0,133746,11708,Other,Many
Janna,1703.0,1703.0,1703.0,0.7777777779999999,1.0,33.0,18072,6007,Other,Few
Kindred,6666.0,52464.0,6666.0,7.25,4.0,56.0,314696,20280,TopLane_Jungle,Many
Vi,0.0,6615.0,0.0,0.6666666666666666,0.0,41.0,122157,8801,TopLane_Jungle,Few
